Years,,Tobacco(Hg/Ha),Chillies& peppers(Hg/Ha),Pepper(Hg/Ha),Tea(Hg/Ha),Cocoa(Hg/Ha),Coffee(Hg/Ha),Plantains(Hg/Ha),Banana(Hg/Ha),Fresh vegetables(Hg/Ha),Onions(Hg/Ha),Tomatoes(Hg/Ha),Cotton seed(Hg/Ha),Sasame seed (Hg/Ha),Sunflower kernel(Hg/Ha),Castro oil(Hg/Ha),Groundnuts(Hg/Ha),Soybeans(Hg/Ha),Pigeon peas(Hg/Ha),Cow peas (Hg/Ha),Chick peas (Hg/Ha),Dry Peas(Hg/Ha),Beans(Hg/Ha),Sugar cane (Hg/Ha),Cassava(Hg/Hg),Sweet potatoes (Hg/Ha),Potatoes(Hg/Ha),Sorghum (Hg/Ha),Millet(Hg/Ha),Rice paddy(Hg/Ha),Wheat(Hg/Ha),Maize yield(/Hg/Ha),Total Crop yield(Hg/Ha),Total Crop yield(Tons/Ha),Cattle stock(herds),Wood fuel(m3),CO2 Emissions from synthetic fertilizers/gigagrams,CO2 Emissions/manure/applied/soils(gigagrams),Agricultural area(K/Ha),Arable and permanent crops land (K/Ha),Total area equpped for irrigation (K/Ha),Forest (000),Population(000),Rural population (000),Urban population (000),GDP per capita (millions),Burned area (Ha),Total fertlilizers used/tonnes,Number of agricultural tractors in use,Annual Mean Temperature (Degrees C),Mean season precipitation(MAM-JJAS) (mm),,,Fertilizers needed per yield,,,,,,,,,
1961,,6014,8108,3846,9273,222,3839,60065,40000,54907,22949,70000,2599,3119,2857,4722,5000,3745,3001,9000,3250,5471,7143,720833,35331,35106,90909,9452,8092,12167,27315,10983,1279318,,3618000,13982983,7.75,47.06,9018,4018,2,4480,7006.63,6683,323.5,62.34,,2600,525,21.34,151.43,,,0.002032333,,,,,,,,,
1962,,6365,8378,3846,11086,250,4676,60092,40000,54908,23333,68519,1465,4098,3214,4639,5333,4167,3042,10000,3500,5600,7143,770588,39962,35032,91667,9456,8113,12512,27315,11118,1339417,,3382762,14440363,8.39,44.75,9114,4114,2,4485,7240.15,6891,349.44,62.04,,2700,530,21.10,129.805,,,0.002015802,,,,,,,,,
1963,,5872,8421,3846,9794,250,6197,60993,40000,54910,23438,68421,2577,4025,3390,4545,5240,8000,3024,9000,3750,5250,7857,873563,39860,34971,91667,9493,8144,11991,27315,12531,1448335,,3464603,14912705,9.68,45.01,9258,4258,2,4490,7487.41,7110,377.71,68.96,,3200,540,21.25,131.01,,,0.002209434,,,,,,,,,
1964,,6433,8684,3846,10650,273,6603,60322,40000,54928,24074,68333,2602,2752,3390,4976,5120,4000,3003,7692,3750,5467,8000,815789,41042,35057,92308,8469,8129,11599,27315,11399,1386005,,3463937,15400496,9.68,44.93,9873,4873,3,4500,7746.18,7338,408.42,76.67,,3600,540,21.41,120.655,,,0.002597393,,,,,,,,,
1965,,5750,8718,3846,11460,273,5186,66810,40000,54928,25143,68254,2822,3158,3667,5000,5000,4167,3077,6154,4000,4211,8667,766839,36212,35294,92308,8889,9001,11875,27315,9507,1337531,,3496797,15904243,12.03,46.52,9871,4871,3,4505,8014.38,7573,441.55,110.36,,4364,579,21.59,97.885,,,0.003262728,,,,,,,,,
1966,,5231,8974,3846,14019,267,4590,74643,45106,54928,25000,68182,2966,3542,4000,4900,5357,9524,1781,4674,5000,4643,8589,769231,41475,34667,86667,9155,9073,20660,27315,8922,1366927,,3496797,16424468,16.6,46.53,9885,4885,4,4510,8292.75,7815,477.39,111.59,,5272,824,21.70,97.885,,,0.003856826,,,,,,,,,
1967,,6120,9000,3846,14053,329,4952,71531,45064,54937,25000,68116,2987,1809,4333,4358,5884,10000,3857,9385,5500,5000,7123,714286,42016,62075,86667,9241,9371,13040,27346,8364,1335590,,3626643,16961708,11.03,48.47,9888,4888,4,4520,8580.63,8065,516.07,112.72,,3776,940,21.61,115.895,,,0.002827215,,,,,,,,,
1968,,6277,9024,3846,15163,430,5269,64992,36895,54945,27500,67123,2476,2396,4333,4333,7012,10000,3034,9846,5750,5263,6296,616974,40969,55932,87500,11043,9984,5736,16667,12432,1209440,,3682325,17516524,12.79,48.91,9925,4925,4,4530,8872.87,8315,557.5,116.92,,4726,1050,21.42,117.375,,,0.003907594,,,,,,,,,
1969,,4837,9268,3846,17627,700,8791,74526,40244,54945,27500,67105,2982,2595,4000,5269,8571,10000,5032,8560,6000,4762,4833,522152,46667,29630,87500,11844,11462,6810,16667,12743,1117468,,3971000,18089484,14.33,51.9,9950,4950,4,4540,9162.77,8561,601.3,129.53,,4570,1170,21.92,120.335,,,0.004089603,,,,,,,,,
1970,,4942,9250,4375,17670,1205,8201,84235,23298,54953,26667,67089,3200,2576,4143,3705,9760,10870,5000,10417,6000,4286,6259,550314,47829,35682,88235,14855,13454,7323,19800,12933,1158526,,4280500,18681188,25.82,57.33,9980,4980,4,4550,9446.02,8817,629.44,148.43,,7000,1280,21.87,101.525,,,0.00604216,,,,,,,,,
